Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
Abdul Qadir,100.0,132.0,26.16,4.06,38.6,0.523289199345678,-0.8254754112259631,-1.211654723440951,-0.4511515725877117,0.752892726650076
Abdul Razzaq,254.0,269.0,31.83,4.69,40.6,2.3172435762879386,-0.2721601021688231,-0.13839030770718375,-0.2688604046275036,0.7491635976978622
Harbhajan Singh,227.0,269.0,33.35,4.31,46.3,2.3172435762879386,-0.12382866129283454,-0.7857561457688217,0.25066942405908904,0.7440397398226264
JH Kallis,283.0,273.0,31.79,4.84,39.3,2.3696218062716543,-0.27606356113924374,0.11714883889609294,-0.38734966380163927,0.7289715480791111
DW Fleming,88.0,134.0,25.38,4.41,34.4,0.5494783143375358,-0.9015928611491677,-0.615396714699969,-0.8339630253041489,0.7251077288727054
Abdur Razzak,152.0,207.0,29.29,4.56,38.4,1.5053810115403463,-0.5200297467905401,-0.35985756809669234,-0.46938068938373273,0.7136622539528279
C Pringle,64.0,103.0,23.87,4.45,32.1,0.1435470319637395,-1.0489484372825506,-0.5472529422724283,-1.043597868458388,0.6958365699942766
GB Hogg,113.0,156.0,26.84,4.51,35.6,0.8375585792479718,-0.7591166087288105,-0.4450372836311179,-0.7245883245280238,0.691575199033981
RD King,50.0,76.0,23.77,4.16,34.2,-0.21000602042634114,-1.0587070847086026,-1.0412952923720984,-0.8521921421001694,0.6855471246886323
IT Botham,115.0,145.0,28.54,3.96,43.2,0.6935184467927539,-0.5932196024859291,-1.3820141545098021,-0.03188188627923297,0.6751585225169295
CR Matthews,55.0,79.0,25.0,3.94,38.0,-0.1707223479385544,-0.9386757213681647,-1.4160860407235725,-0.5058389229757743,0.6724695842822392
TA Boult,89.0,164.0,25.06,5.05,29.7,0.9423150392154032,-0.9328205329125336,0.47490364414068154,-1.262347270010638,0.6656447994994733
BP Patterson,58.0,90.0,24.51,4.33,33.8,-0.026682215483336363,-0.9864930937558186,-0.7516842595550505,-0.8886503756922115,0.6500363783799361
JDP Oram,154.0,173.0,29.17,4.38,39.9,1.0601660566787634,-0.5317401237018021,-0.666504544020625,-0.3326623134135767,0.6477682594536918
ST Jayasuriya,368.0,323.0,36.75,4.78,46.0,3.0243496810681,0.20796535119292842,0.014933180254782573,0.2233257488650581,0.6445313501888328
Mashrafe Mortaza,217.0,266.0,32.92,4.87,40.5,2.277959903800152,-0.16579084522485749,0.1682566682167489,-0.2779749630255141,0.6383672609584436
M Prabhakar,127.0,157.0,28.87,4.27,40.5,0.8506531367439008,-0.5610160659799578,-0.8538999181963624,-0.2779749630255141,0.6358860209864337
IR Bishop,83.0,118.0,26.5,4.33,36.7,0.3399653944026732,-0.7922960099773868,-0.7516842595550505,-0.6243281821499093,0.627068461521255
PS de Villiers,82.0,95.0,27.74,3.57,46.5,0.0387905719963082,-0.6712887818943439,-2.0464159356783242,0.2688985408551101,0.6218991871784666
SP Davis,39.0,44.0,25.75,3.37,45.8,-0.6290318602960664,-0.8654858656727757,-2.387134797816027,0.20509663206903703,0.6046230427809249
SP Narine,65.0,92.0,26.46,4.12,38.4,-0.0004931004914785359,-0.7961994689478075,-1.109439064799639,-0.46938068938373273,0.5936315306599252
L Klusener,164.0,192.0,29.95,4.7,38.2,1.3089626491014128,-0.4556226737785979,-0.12135436460029893,-0.4876098061797532,0.5933873734150157
Hamid Hassan,37.0,59.0,22.54,4.6,29.3,-0.43261349785713266,-1.1787384480490404,-0.29171379566915157,-1.2988055036026793,0.5841610623659347
Aaqib Javed,159.0,182.0,31.43,4.28,44.0,1.1780170741421236,-0.31119469187303034,-0.8368639750894761,0.04103458090485001,0.571260290049945
CJ McKay,59.0,97.0,24.37,4.78,30.5,0.06497968698816603,-1.0001552001522913,0.014933180254782573,-1.1894308028265546,0.5599081274280573
VJ Marks,32.0,44.0,25.79,3.7,41.7,-0.6290318602960664,-0.8615824067023551,-1.8249486752888162,-0.16860026224938904,0.5565248709861235
DK Morrison,95.0,126.0,27.53,4.53,36.3,0.4447218543701045,-0.6917819414890526,-0.4109653974173468,-0.6607864157419514,0.5520639022546139
Mustafizur Rahman,55.0,107.0,22.97,5.24,26.2,0.19592526194745516,-1.1367762641170174,0.7985865631715005,-1.581356813941002,0.5288679442084935
DE Bollinger,39.0,62.0,23.9,4.57,31.3,-0.3933298253693459,-1.0460208430547353,-0.342821624989806,-1.1165143356424712,0.5280067445794167
LL Tsotsobe,60.0,94.0,24.96,4.75,31.5,0.02569601450037929,-0.9425791803385853,-0.03617464906587337,-1.0982852188464505,0.5256837656878222
