Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
A Jadeja,179.0,5359.0,37.47,69.8,1.2118236323872078,1.0679928757824655,-0.36799511420628606,0.6372737979877957
Mohammad Naveed,34.0,397.0,16.54,122.91,-0.7364429291655328,-0.8487611208261283,3.4828788432960724,0.6325582644348037
MM Ali,82.0,1766.0,25.59,104.06,-0.19892238850335986,-0.01996878115542712,2.1161122438059685,0.6324070247157272
MR Marsh,49.0,1428.0,35.7,93.08,-0.3316338149049774,0.9058975784104062,1.3199797630419707,0.6314145088491332
Mohammad Shahzad,84.0,2727.0,33.66,88.48,0.1784021108219492,0.7190758797443028,0.98644520825924,0.6279743996084972
N Kapil Dev,198.0,3783.0,23.79,95.07,0.5930271589879497,-0.1848114564490473,1.4642697117414563,0.6241618047601195
UT Khawaja,39.0,1554.0,42.0,84.09,-0.28216150802153417,1.4828469419380763,0.6681372309774596,0.6229408882980005
GW Flower,214.0,6571.0,33.52,67.58,1.6877001081231857,0.7062547827770218,-0.5289617906449083,0.6216643667517663
AR Border,252.0,6524.0,30.62,71.42,1.669246152380949,0.4406749170261892,-0.2505329449132369,0.6197960414979671
JDS Neesham,50.0,1247.0,31.17,98.96,-0.4027011763803998,0.4910435122547954,1.7463239330685918,0.6115554229809959
SC Williams,127.0,3717.0,34.1,81.76,0.5671130934775745,0.7593707559271882,0.49919472822881544,0.6085595258778593
SB Styris,161.0,4483.0,32.48,79.41,0.867873308340412,0.6110123481629296,0.3288020752419848,0.6025625772484421
JD Ryder,42.0,1362.0,33.21,95.31,-0.35754788041535246,0.6778652109208981,1.4816715145996864,0.6006629483684107
DC Boon,177.0,5964.0,37.04,65.13,1.449369232898979,1.0286137922401009,-0.7066051948226676,0.5904592767721374
N Dickwella,49.0,1571.0,32.72,93.56,-0.2754866729658315,0.6329913715354125,1.3547833687584299,0.5707626891093369
C Munro,53.0,1271.0,24.92,104.69,-0.39327787983117257,-0.08132688807027444,2.1617919763088205,0.5623957361357911
Sarfaraz Ahmed,90.0,2302.0,33.85,87.79,0.011531234429382767,0.7364759399141854,0.9364150250418305,0.5614740664617995
F Behardien,49.0,1074.0,30.68,97.9,-0.47062743900607984,0.44616967286930975,1.669465970444746,0.5483360681026587
NV Knight,100.0,3637.0,40.41,71.52,0.5357021049801504,1.3372359120953783,-0.24328219372230842,0.5432186077844067
JM Davison,32.0,799.0,26.63,104.17,-0.5786027119659758,0.07527365345866442,2.1240880701159903,0.5402530038695597
CS MacLeod,64.0,2175.0,37.5,82.92,-0.03833370981027827,1.070740253704026,0.5833034420435909,0.5385699953124462
GA Hick,118.0,3846.0,37.33,74.08,0.6177633124296712,1.055171778815184,-0.057662963234527444,0.5384240426701092
CH Lloyd,69.0,1977.0,39.54,81.22,-0.11607590634140334,1.2575619523701287,0.46004067179779873,0.533842239275508
DJG Sammy,105.0,1871.0,24.94,100.05,-0.1576954661004905,-0.07949530278923425,1.8253571210497175,0.5293887840533309
DJ Hussey,61.0,1796.0,32.65,90.7,-0.18714326781682578,0.6265808230517717,1.1474118846978623,0.528949813310936
BJ Haddin,115.0,3122.0,31.53,84.24,0.3334938665279816,0.5240120473135194,0.6790133577638524,0.5121730905351178
Mahmudullah,160.0,3994.0,33.84,76.48,0.6758736411499061,0.7355601472736654,0.11635506534776748,0.509262951257113
AN Cook,92.0,3204.0,36.4,77.13,0.36569012973784143,0.9700030632468136,0.16348494808880495,0.49972604702448664
NS Sidhu,127.0,4413.0,37.08,69.72,0.8403886934051658,1.032276962802181,-0.3737957151590291,0.49962331368277246
TM Head,39.0,1273.0,34.4,90.02,-0.39249260511873696,0.7868445351427912,1.0981067765995451,0.4974862355411998
MP Stoinis,38.0,1050.0,33.87,91.86,-0.4800507355553071,0.7383075251952252,1.2315205985126378,0.49659246271751867
KA Pollard,99.0,2398.0,26.06,94.14,0.04922442062629189,0.02307347294901803,1.3968377256658175,0.4897118730803758
RB Richardson,217.0,6248.0,33.41,63.74,1.560878242064835,0.6961810637313,-0.8073906363765793,0.48322288980651856
HH Dippenaar,95.0,3421.0,42.23,67.78,0.45089243603710477,1.5039101726700386,-0.5144602882630503,0.48011410681469774
RL Powell,100.0,2085.0,24.82,96.66,-0.07367107186988057,-0.09048481447547568,1.5795566556772265,0.4718002564439567
AM Rahane,87.0,2962.0,35.26,78.63,0.27067188953313304,0.8656027022275208,0.272246215952739,0.4695069359044642
SM Pollock,205.0,3519.0,26.45,86.69,0.48937089694644953,0.05878938592930244,0.8566567619416116,0.46827234827245445
RG Twose,81.0,2717.0,38.81,75.4,0.1744757372597712,1.1907090896121608,0.03804695248573507,0.46774392645255564
Sikandar Raza,93.0,2656.0,34.05,81.74,0.15052485853048517,0.7547917927245872,0.49774457799062893,0.46768707641523377
GS Chappell,72.0,2331.0,40.18,75.7,0.022917717759699065,1.316172681363416,0.059799206058521674,0.4662965350605456
H Masakadza,208.0,5658.0,27.73,73.21,1.3292222018963311,0.17601084391587685,-0.12074449859560953,0.46149618240553286
RP Arnold,155.0,3950.0,35.26,72.57,0.6585975974763228,0.8656027022275208,-0.16714930621755478,0.4523503311620962
Salman Butt,78.0,2725.0,36.82,76.28,0.17761683610951362,1.0084663541486585,0.10185356296590939,0.42931225107469384
RA Jadeja,106.0,2188.0,31.25,86.04,-0.033229424179446826,0.4983698533789562,0.8095268792005741,0.4248891028000278
CD McMillan,183.0,4707.0,28.18,75.94,0.9558240761332,0.2172215127392818,0.07720100891675076,0.4167488659297442
TWM Latham,88.0,2550.0,32.27,82.36,0.10890529877139801,0.5917807027120079,0.5426992353743887,0.41446174561926485
MD Gunathilaka,37.0,1249.0,34.69,85.9,-0.4019159016679642,0.8134025217178744,0.7993758275332735,0.40362081586106124
JO Holder,89.0,1798.0,25.68,94.28,-0.18635799310439016,-0.011726647390746126,1.4069887773331182,0.40296804561266064
Najibullah Zadran,62.0,1586.0,29.92,89.85,-0.26959711262256447,0.37656943218978145,1.0857804995749658,0.39758427304739424
GM Turner,40.0,1598.0,47.0,68.05,-0.26488546434795085,1.9407432621981322,-0.49488326004754246,0.39365817926754626
Mohammad Nabi,112.0,2782.0,27.82,85.54,0.1999971654139284,0.18425297768055784,0.7732731232459293,0.3858410887801385
GD Elliott,69.0,1976.0,34.06,81.78,-0.11646854369762115,0.7557075853651077,0.500644878467001,0.37996130671149586
Rameez Raja,197.0,5841.0,32.09,63.31,1.401074838084189,0.5752964351826458,-0.8385688664975737,0.379267468923087
E Chigumbura,198.0,4340.0,25.23,80.02,0.8117261664012662,-0.05293731621415109,0.3730316575066513,0.3772735025645888
Imran Khan,151.0,3709.0,33.41,72.65,0.5639719946278322,0.6961810637313,-0.1613487052648107,0.36626811769810713
LD Chandimal,132.0,3599.0,32.42,74.12,0.5207818854438738,0.6055175923198094,-0.05476266275815541,0.35717893833517594
EC Joyce,77.0,2622.0,38.0,72.23,0.13717518841907986,1.1165298857300316,-0.19180186026671237,0.3539677379607997
Kamran Akmal,138.0,3236.0,26.09,83.94,0.3782545251368112,0.02582085087057847,0.6572611041910658,0.35377882673281846
JA Morkel,43.0,782.0,23.69,100.25,-0.5852775470216784,-0.19396938285424822,1.8398586234315757,0.35353723118521635
CL White,77.0,2072.0,33.96,80.12,-0.07877535750071202,0.7465496589599065,0.38028240869758084,0.3493522367189251
AL Phehlukwayo,32.0,549.0,32.29,90.0,-0.6767620510204266,0.5936122879930477,1.0966566263613595,0.3378356211113268
C Kieswetter,40.0,1054.0,30.11,89.93,-0.4784801861304359,0.3939694923596634,1.0915811005277098,0.33569013558564575
AM Blignaut,41.0,626.0,18.96,106.28,-0.6465289745916557,-0.6271393018202611,2.2770789202445907,0.3344702146108912
AJ Stewart,162.0,4677.0,31.6,68.36,0.9440449554466659,0.5304225957971602,-0.4724059313556626,0.3340205399627212
HDRL Thirimanne,106.0,3194.0,34.71,72.27,0.3617637561756634,0.8152341069989149,-0.18890155979034137,0.32936543446141225
NH Fairbrother,71.0,2092.0,39.47,72.06,-0.07092261037635596,1.251151403886488,-0.2041281372912917,0.3253668854062801
DJ Cullinan,133.0,3860.0,32.99,70.28,0.6232602354167205,0.6577177728294558,-0.33319150848982687,0.3159288332521164
ADR Campbell,184.0,5185.0,30.5,66.18,1.14350473240531,0.42968540533994776,-0.6304723073179129,0.31423927680911495
LE Plunkett,50.0,646.0,20.83,102.7,-0.6386762274672997,-0.45588607804300046,2.0175020276093347,0.30764657403301154
JR Hopes,61.0,1326.0,25.01,93.71,-0.3716828252391934,-0.07308475430559344,1.3656594955448227,0.3069639720000119
RA Smith,70.0,2419.0,39.01,69.65,0.057469805106865765,1.2090249424225628,-0.3788712409926788,0.2958745021789166
GA Gooch,122.0,4290.0,36.98,61.88,0.792094298590376,1.02311903639698,-0.9422546085278575,0.29098624215316615
Aamer Sohail,155.0,4780.0,31.86,65.5,0.9844866031370997,0.5542332044506829,-0.6797774154162302,0.28631413072385076
BL Cairns,65.0,987.0,16.72,104.88,-0.5047868889970287,-0.8322768532967664,2.175568403571585,0.2795015537592634
HM Nicholls,43.0,1120.0,33.93,82.41,-0.45256612062006085,0.7438022810383461,0.546324610969853,0.27918692379604604
DI Gower,111.0,3170.0,30.77,75.15,0.3523404596264361,0.4544118066339908,0.019920074508412725,0.2755574469229465
RS Bopara,109.0,2695.0,30.62,77.84,0.1658377154229795,0.4406749170261892,0.21496528154440098,0.2738259713311899
JM Kemp,66.0,1512.0,31.5,83.12,-0.29865227698268193,0.5212646693919589,0.597804944425449,0.2734724456115753
Azhar Ali,53.0,1845.0,36.9,74.45,-0.1679040373621534,1.0157926952728191,-0.030835183828090043,0.2723511580275252
E Lewis,45.0,1402.0,32.6,82.27,-0.3418423861666403,0.6220018598491713,0.5361735593025524,0.27211101099502777
SO Tikolo,130.0,3428.0,29.05,75.77,0.4536408975306294,0.29689547246453163,0.06487473189217144,0.2718037006291108
GP Thorpe,77.0,2380.0,37.18,71.17,0.04215694821437143,1.0414348892073824,-0.2686598228905593,0.2716440048437315
Sabbir Rahman,59.0,1333.0,25.63,91.23,-0.36893436374566874,-0.016305610593346752,1.1858408660097857,0.2668669638902567
BKG Mendis,71.0,1973.0,29.01,83.35,-0.11764645576627455,0.29323230190245125,0.6144816721645848,0.26335583943358715
DB Vengsarkar,120.0,3508.0,34.73,67.73,0.48505188602805366,0.8170656922799547,-0.5180856638585145,0.2613439714831646
Fawad Alam,36.0,966.0,40.25,74.47,-0.5130322734776026,1.3225832298470568,-0.029385033589904543,0.2600553075931832
K Srikkanth,145.0,4091.0,29.01,71.74,0.7139594647030331,0.29323230190245125,-0.22733054110226483,0.2599537418344065
CR Ervine,90.0,2571.0,32.54,75.48,0.11715068325197188,0.6165071040060505,0.0438475534384781,0.2591684468988335
WTS Porterfield,133.0,4037.0,31.05,69.38,0.6927570474672717,0.48005400056855396,-0.3984482692081877,0.2581209262758793
DJ Bravo,141.0,2968.0,25.36,82.3,0.2730277136704398,-0.04103201188738973,0.5383487846598312,0.2567814954809604
JDP Oram,116.0,2434.0,24.09,86.61,0.06335936545013282,-0.15733767723344388,0.8508561609888685,0.25229261640185247
N Boje,71.0,1414.0,26.67,88.7,-0.3371307378920267,0.07893682402074512,1.0023968608792835,0.2480676490026673
GR Marsh,115.0,4357.0,39.97,55.93,0.8184010014569688,1.2969410359124935,-1.3736743043881294,0.2472225776604443
AU Rashid,43.0,588.0,18.96,102.43,-0.6614491941279322,-0.6271393018202611,1.997924999393827,0.2364455011485445
Wasim Akram,280.0,3717.0,16.52,88.33,0.5671130934775745,-0.8505927061071685,0.9755690814728462,0.23069648961441735
Rashid Khan,56.0,905.0,19.25,99.88,-0.5369831522068886,-0.600581315245178,1.8130308440251381,0.2251554588576905
Shaiman Anwar,40.0,1219.0,31.25,82.53,-0.41369502235449834,0.4983698533789562,0.555025512398968,0.21323344780780862
RV Uthappa,42.0,934.0,25.94,90.59,-0.5255966688765723,0.012083961262776922,1.1394360583878405,0.20864111692468165
Moin Khan,183.0,3266.0,23.0,81.3,0.39003364582334527,-0.2571590750501361,0.46584127275054177,0.19957194784125032
