Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
DPMD Jayawardene,DPMD Jayawardene,2014-08-30,Pakistan,Pakistan in Sri Lanka ODI Series,,Rangiri Dambulla International Stadium,bat,caught,Saeed Ajmal,Mohammad Hafeez,
DPMD Jayawardene,DPMD Jayawardene,2014-11-02,India,Sri Lanka in India ODI Series,,Barabati Stadium,field,caught,AR Patel,V Kohli,
DPMD Jayawardene,DPMD Jayawardene,2014-11-06,India,Sri Lanka in India ODI Series,,"Sardar Patel Stadium, Motera",bat,caught,R Ashwin,AT Rayudu,
DPMD Jayawardene,DPMD Jayawardene,2014-11-09,India,Sri Lanka in India ODI Series,,"Rajiv Gandhi International Stadium, Uppal",bat,stumped,R Ashwin,,
DPMD Jayawardene,DPMD Jayawardene,2014-11-13,India,Sri Lanka in India ODI Series,,Eden Gardens,bat,lbw,UT Yadav,,
DPMD Jayawardene,DPMD Jayawardene,2014-11-16,India,Sri Lanka in India ODI Series,,JSCA International Stadium Complex,bat,caught,R Ashwin,AM Rahane,
DPMD Jayawardene,DPMD Jayawardene,2014-11-26,England,England in Sri Lanka ODI Series,,R Premadasa Stadium,field,caught,JC Tredwell,JC Buttler,
DPMD Jayawardene,DPMD Jayawardene,2014-11-29,England,England in Sri Lanka ODI Series,,R Premadasa Stadium,bat,Not Out,,,
DPMD Jayawardene,DPMD Jayawardene,2014-12-07,England,England in Sri Lanka ODI Series,,R Premadasa Stadium,bat,bowled,CJ Jordan,,
DPMD Jayawardene,DPMD Jayawardene,2014-12-10,England,England in Sri Lanka ODI Series,,Pallekele International Cricket Stadium,field,caught,CR Woakes,CJ Jordan,
DPMD Jayawardene,DPMD Jayawardene,2014-12-13,England,England in Sri Lanka ODI Series,,Pallekele International Cricket Stadium,bat,caught,CR Woakes,JWA Taylor,
DPMD Jayawardene,DPMD Jayawardene,2014-12-16,England,England in Sri Lanka ODI Series,,R Premadasa Stadium,bat,caught,HF Gurney,CR Woakes,stumped
DPMD Jayawardene,DPMD Jayawardene,2015-01-11,New Zealand,Sri Lanka in New Zealand ODI Series,,Hagley Oval,bat,caught,MJ McClenaghan,CJ Anderson,
DPMD Jayawardene,DPMD Jayawardene,2015-01-15,New Zealand,Sri Lanka in New Zealand ODI Series,,Seddon Park,bat,caught,MJ Henry,LRPL Taylor,
DPMD Jayawardene,DPMD Jayawardene,2015-01-20,New Zealand,Sri Lanka in New Zealand ODI Series,,Saxton Oval,bat,caught,CJ Anderson,L Ronchi,
DPMD Jayawardene,DPMD Jayawardene,2015-01-23,New Zealand,Sri Lanka in New Zealand ODI Series,,University Oval,field,bowled,TA Boult,,
DPMD Jayawardene,DPMD Jayawardene,2015-01-25,New Zealand,Sri Lanka in New Zealand ODI Series,,University Oval,bat,caught,CJ Anderson,BB McCullum,
DPMD Jayawardene,DPMD Jayawardene,2015-01-29,New Zealand,Sri Lanka in New Zealand ODI Series,,Westpac Stadium,bat,caught,TG Southee,L Ronchi,
DPMD Jayawardene,DPMD Jayawardene,2015-02-14,New Zealand,ICC Cricket World Cup,,Hagley Oval,field,caught,DL Vettori,L Ronchi,
DPMD Jayawardene,DPMD Jayawardene,2015-03-08,Australia,ICC Cricket World Cup,,Sydney Cricket Ground,bat,run out,,,
DPMD Jayawardene,DPMD Jayawardene,2015-03-11,Scotland,ICC Cricket World Cup,,Bellerive Oval,bat,caught,JH Davey,CS MacLeod,
DPMD Jayawardene,DPMD Jayawardene,2015-03-18,South Africa,ICC Cricket World Cup,Quarter Final,Sydney Cricket Ground,bat,caught,Imran Tahir,F du Plessis,
DR Martyn,DR Martyn,2003-01-09,Sri Lanka,VB Series,,Sydney Cricket Ground,field,bowled,ST Jayasuriya,,
DR Martyn,DR Martyn,2003-01-11,England,VB Series,,"Bellerive Oval, Hobart",bat,Not Out,,,caught
DR Martyn,DR Martyn,2003-01-15,Sri Lanka,VB Series,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",bat,bowled,M Muralitharan,,
DR Martyn,DR Martyn,2003-01-19,England,VB Series,,Adelaide Oval,bat,caught,ID Blackwell,PD Collingwood,
DR Martyn,DR Martyn,2003-01-25,England,VB Series,Final,Melbourne Cricket Ground,bat,caught,AR Caddick,AJ Stewart,
DR Martyn,DR Martyn,2003-02-11,Pakistan,ICC World Cup,,"New Wanderers Stadium, Johannesburg",field,bowled,Wasim Akram,,
DR Martyn,DR Martyn,2003-02-24,Zimbabwe,ICC World Cup,,"Queens Sports Club, Bulawayo",bat,Not Out,,,
DR Martyn,DR Martyn,2003-02-27,Namibia,ICC World Cup,,"North West Cricket Stadium, Potchefstroom",bat,bowled,BL Kotze,,
DR Martyn,DR Martyn,2003-03-02,England,ICC World Cup,,"St George's Park, Port Elizabeth",bat,lbw,AR Caddick,,
DR Martyn,DR Martyn,2003-03-07,Sri Lanka,ICC World Cup,Super Sixes,"SuperSport Park, Centurion",bat,bowled,CRD Fernando,,
DR Martyn,DR Martyn,2003-03-11,New Zealand,ICC World Cup,Super Sixes,"St George's Park, Port Elizabeth",field,caught,SE Bond,BB McCullum,
DR Martyn,DR Martyn,2003-03-23,India,ICC World Cup,Final,"New Wanderers Stadium, Johannesburg",field,Not Out,,,
DR Martyn,DR Martyn,2003-08-02,Bangladesh,Bangladesh tour of Australia,,"Bundaberg Rum Stadium, Cairns",field,Not Out,,,
DR Martyn,DR Martyn,2003-08-03,Bangladesh,Bangladesh tour of Australia,,"Bundaberg Rum Stadium, Cairns",bat,Not Out,,,
DR Martyn,DR Martyn,2003-08-06,Bangladesh,Bangladesh tour of Australia,,"Marrara Cricket Ground, Darwin",bat,bowled,Alok Kapali,,
DR Martyn,DR Martyn,2003-10-26,India,TVS Cup (India),,"Captain Roop Singh Stadium, Gwalior",bat,bowled,V Sehwag,,
DR Martyn,DR Martyn,2003-10-29,New Zealand,TVS Cup (India),,"Nahar Singh Stadium, Faridabad",bat,Not Out,,,
DR Martyn,DR Martyn,2003-11-01,India,TVS Cup (India),,"Wankhede Stadium, Mumbai",bat,bowled,AB Agarkar,,
DR Martyn,DR Martyn,2003-11-03,New Zealand,TVS Cup (India),,"Nehru Stadium, Poona",field,bowled,DR Tuffey,,
DR Martyn,DR Martyn,2004-01-09,India,VB Series,,Melbourne Cricket Ground,bat,caught,AB Agarkar,L Balaji,
DR Martyn,DR Martyn,2004-01-11,Zimbabwe,VB Series,,Sydney Cricket Ground,bat,caught and bowled,,,
DR Martyn,DR Martyn,2004-01-16,Zimbabwe,VB Series,,Bellerive Oval,bat,Not Out,,,
DR Martyn,DR Martyn,2004-01-18,India,VB Series,,Brisbane Cricket Ground,bat,caught,L Balaji,Yuvraj Singh,
DR Martyn,DR Martyn,2004-01-22,India,VB Series,,Sydney Cricket Ground,bat,caught,IK Pathan,PA Patel,
DR Martyn,DR Martyn,2004-01-29,Zimbabwe,VB Series,,Melbourne Cricket Ground,field,lbw,HH Streak,,
DR Martyn,DR Martyn,2004-02-01,India,VB Series,,W.A.C.A. Ground,bat,caught,AB Agarkar,VVS Laxman,
DR Martyn,DR Martyn,2004-02-06,India,VB Series,Final,Melbourne Cricket Ground,bat,Not Out,,,
DR Martyn,DR Martyn,2004-02-08,India,VB Series,Final,Sydney Cricket Ground,bat,caught,IK Pathan,HK Badani,
DR Martyn,DR Martyn,2004-02-20,Sri Lanka,Australia tour of Sri Lanka,,Rangiri Dambulla International Stadium,bat,caught and bowled,,,
DR Martyn,DR Martyn,2004-02-22,Sri Lanka,Australia tour of Sri Lanka,,Rangiri Dambulla International Stadium,bat,caught,WPUJC Vaas,MS Atapattu,
DR Martyn,DR Martyn,2004-02-27,Sri Lanka,Australia tour of Sri Lanka,,R.Premadasa Stadium,bat,caught,KS Lokuarachchi,DNT Zoysa,
DR Martyn,DR Martyn,2004-05-25,Zimbabwe,Australia tour of Zimbabwe,,Harare Sports Club,bat,Not Out,,,
DR Martyn,DR Martyn,2004-05-27,Zimbabwe,Australia tour of Zimbabwe,,Harare Sports Club,field,caught,T Mupariwa,T Panyangara,
DR Martyn,DR Martyn,2004-08-23,India,Videocon Cup,,VRA Cricket Ground,bat,bowled,V Sehwag,,
DR Martyn,DR Martyn,2004-09-04,Pakistan,Pakistan tour of England,,Lord's,field,caught,Shoaib Malik,Imran Farhat,
DR Martyn,DR Martyn,2004-09-16,New Zealand,ICC Champions Trophy,,Kennington Oval,field,Not Out,,,
DR Martyn,DR Martyn,2004-09-21,England,ICC Champions Trophy,Semi Final,Edgbaston,field,caught,MP Vaughan,ME Trescothick,
DR Martyn,DR Martyn,2004-12-05,New Zealand,New Zealand tour of Australia,,Docklands Stadium,field,lbw,DL Vettori,,
DR Martyn,DR Martyn,2004-12-08,New Zealand,New Zealand tour of Australia,,Sydney Cricket Ground,bat,lbw,KD Mills,,
DR Martyn,DR Martyn,2005-01-21,West Indies,VB Series,,"Brisbane Cricket Ground, Woolloongabba",bat,Not Out,,,
DR Martyn,DR Martyn,2005-01-30,Pakistan,VB Series,,W.A.C.A. Ground,bat,caught,Shahid Afridi,Shoaib Malik,
DR Martyn,DR Martyn,2005-02-04,Pakistan,VB Series,Final,Melbourne Cricket Ground,bat,stumped,Shahid Afridi,,
DR Martyn,DR Martyn,2005-02-26,New Zealand,Australia tour of New Zealand,,Eden Park,bat,lbw,DL Vettori,,
DR Martyn,DR Martyn,2005-03-01,New Zealand,Australia tour of New Zealand,,Basin Reserve,field,Not Out,,,
DR Martyn,DR Martyn,2005-06-18,Bangladesh,NatWest Challenge,,Sophia Gardens,bat,caught,Tapash Baisya,Nafees Iqbal,
DR Martyn,DR Martyn,2005-06-23,England,NatWest Challenge,,Riverside Ground,field,Not Out,,,
DR Martyn,DR Martyn,2005-06-28,England,NatWest Challenge,,Edgbaston,bat,caught,SJ Harmison,KP Pietersen,
DR Martyn,DR Martyn,2005-06-30,Bangladesh,NatWest Challenge,,St Lawrence Ground,field,caught,Khaled Mahmud,Khaled Mashud,
DR Martyn,DR Martyn,2005-07-02,England,NatWest Challenge,Final,Lord's,field,caught,SJ Harmison,GO Jones,
DR Martyn,DR Martyn,2005-07-12,England,Australia tour of England and Scotland,,Kennington Oval,field,Not Out,,,
DR Martyn,DR Martyn,2005-10-07,ICC World XI,ICC World XI tour of Australia,,Docklands Stadium,bat,bowled,A Flintoff,,
DR Martyn,DR Martyn,2005-10-09,ICC World XI,ICC World XI tour of Australia,,Docklands Stadium,bat,lbw,DL Vettori,,
DR Martyn,DR Martyn,2006-01-15,South Africa,VB Series,,"Brisbane Cricket Ground, Woolloongabba",bat,bowled,SM Pollock,,
DR Martyn,DR Martyn,2006-01-20,South Africa,VB Series,,Docklands Stadium,bat,bowled,SM Pollock,,
DR Martyn,DR Martyn,2006-01-22,Sri Lanka,VB Series,,Sydney Cricket Ground,bat,caught,WPUJC Vaas,KMDN Kulasekara,
DR Martyn,DR Martyn,2006-01-26,Sri Lanka,VB Series,,Adelaide Oval,bat,bowled,M Muralitharan,,
DR Martyn,DR Martyn,2006-01-29,Sri Lanka,VB Series,,Western Australia Cricket Association Ground,bat,Not Out,,,
DR Martyn,DR Martyn,2006-02-03,South Africa,VB Series,,Docklands Stadium,bat,caught,GC Smith,J Botha,
DR Martyn,DR Martyn,2006-02-05,South Africa,VB Series,,Sydney Cricket Ground,bat,run out,,,
DR Martyn,DR Martyn,2006-02-10,Sri Lanka,VB Series,Final,Adelaide Oval,bat,run out,,,
DR Martyn,DR Martyn,2006-02-12,Sri Lanka,VB Series,Final,Sydney Cricket Ground,bat,caught,WPUJC Vaas,DPMD Jayawardene,
DR Martyn,DR Martyn,2006-02-26,South Africa,Australia in South Africa ODI Series,,SuperSport Park,bat,lbw,SM Pollock,,
DR Martyn,DR Martyn,2006-03-03,South Africa,Australia in South Africa ODI Series,,Newlands,bat,caught,M Ntini,HH Dippenaar,
DR Martyn,DR Martyn,2006-03-05,South Africa,Australia in South Africa ODI Series,,St George's Park,field,caught,M Ntini,R Telemachus,
DR Martyn,DR Martyn,2006-03-10,South Africa,Australia in South Africa ODI Series,,Kingsmead,bat,caught,R Telemachus,MV Boucher,
DR Martyn,DR Martyn,2006-09-16,India,DLF Cup,,Kinrara Academy Oval,bat,caught,RP Singh,MS Dhoni,
DR Martyn,DR Martyn,2006-09-22,India,DLF Cup,,Kinrara Academy Oval,bat,run out,,,
DR Martyn,DR Martyn,2006-09-24,West Indies,DLF Cup,Final,Kinrara Academy Oval,bat,caught,IDR Bradshaw,RS Morton,
DR Martyn,DR Martyn,2006-10-18,West Indies,ICC Champions Trophy,,Brabourne Stadium,bat,caught,IDR Bradshaw,DJ Bravo,
DR Martyn,DR Martyn,2006-10-21,England,ICC Champions Trophy,,Sawai Mansingh Stadium,field,caught,SJ Harmison,CMW Read,
DR Martyn,DR Martyn,2006-10-29,India,ICC Champions Trophy,,"Punjab Cricket Association Stadium, Mohali",bat,Not Out,,,
DR Martyn,DR Martyn,2006-11-01,New Zealand,ICC Champions Trophy,Semi Final,"Punjab Cricket Association Stadium, Mohali",field,lbw,DL Vettori,,
DR Martyn,DR Martyn,2006-11-05,West Indies,ICC Champions Trophy,Final,Brabourne Stadium,bat,Not Out,,,
DR Smith,DR Smith,2004-01-25,South Africa,West Indies tour of South Africa,,Newlands,bat,caught,L Klusener,MV Boucher,
DR Smith,DR Smith,2004-01-30,South Africa,West Indies tour of South Africa,,Kingsmead,bat,caught,L Klusener,SM Pollock,
DR Smith,DR Smith,2004-05-02,England,England tour of West Indies,,Daren Sammy National Cricket Stadium,field,caught,GJ Batty,AJ Strauss,
DR Smith,DR Smith,2004-05-15,Bangladesh,Bangladesh tour of West Indies,,Arnos Vale Ground,field,stumped,Manjural Islam Rana,,
DR Smith,DR Smith,2004-05-16,Bangladesh,Bangladesh tour of West Indies,,Arnos Vale Ground,field,Not Out,,,
DR Smith,DR Smith,2004-05-19,Bangladesh,Bangladesh tour of West Indies,,National Cricket Stadium,bat,lbw,Manjural Islam Rana,,caught|caught|caught
DR Smith,DR Smith,2004-06-27,England,NatWest Series,,Trent Bridge,field,caught,JM Anderson,ME Trescothick,lbw
DR Smith,DR Smith,2004-07-01,England,NatWest Series,,Headingley,field,caught,SJ Harmison,GO Jones,
DR Smith,DR Smith,2004-07-06,England,NatWest Series,,Lord's,field,,,,bowled
DR Smith,DR Smith,2004-07-10,New Zealand,NatWest Series,Final,Lord's,field,lbw,DL Vettori,,caught
DR Smith,DR Smith,2005-05-08,South Africa,South Africa tour of West Indies,,"Sabina Park, Kingston",field,caught,JH Kallis,SM Pollock,
DR Smith,DR Smith,2005-05-15,South Africa,South Africa tour of West Indies,,"Queen's Park Oval, Port of Spain",field,lbw,SM Pollock,,
DR Smith,DR Smith,2005-05-22,Pakistan,Pakistan tour of West Indies,,"Daren Sammy National Cricket Stadium, Gros Islet",field,lbw,Abdul Razzaq,,
DR Smith,DR Smith,2005-07-31,India,Indian Oil Cup,,Rangiri Dambulla International Stadium,bat,caught,Harbhajan Singh,MS Dhoni,caught
DR Smith,DR Smith,2005-08-02,Sri Lanka,Indian Oil Cup,,Rangiri Dambulla International Stadium,bat,bowled,M Muralitharan,,bowled
DR Smith,DR Smith,2005-08-06,Sri Lanka,Indian Oil Cup,,"R.Premadasa Stadium, Khettarama",bat,lbw,M Muralitharan,,bowled|lbw
DR Smith,DR Smith,2006-02-18,New Zealand,West Indies in New Zealand ODI Series,,Westpac Stadium,bat,caught,MJ Mason,JS Patel,caught|caught
DR Smith,DR Smith,2006-02-22,New Zealand,West Indies in New Zealand ODI Series,,Queenstown Events Centre,field,run out,,,
DR Smith,DR Smith,2006-02-25,New Zealand,West Indies in New Zealand ODI Series,,Jade Stadium,bat,caught,JS Patel,NJ Astle,caught
DR Smith,DR Smith,2006-03-01,New Zealand,West Indies in New Zealand ODI Series,,McLean Park,field,caught,DL Vettori,SB Styris,caught
DR Smith,DR Smith,2006-03-04,New Zealand,West Indies in New Zealand ODI Series,,Eden Park,bat,caught,SE Bond,L Vincent,caught|bowled|caught|caught
DR Smith,DR Smith,2006-04-29,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Antigua Recreation Ground, St John's",field,,,,caught|caught
DR Smith,DR Smith,2006-04-30,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Antigua Recreation Ground, St John's",bat,bowled,CJ Chibhabha,,
DR Smith,DR Smith,2006-05-13,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Queen's Park Oval, Port of Spain",bat,bowled,T Mupariwa,,
DR Smith,DR Smith,2006-05-14,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Queen's Park Oval, Port of Spain",bat,caught,T Mupariwa,E Chigumbura,lbw|lbw|bowled|caught
DR Smith,DR Smith,2006-05-26,India,India in West Indies ODI Series,,"Queen's Park Oval, Port of Spain",field,,,,
DR Smith,DR Smith,2006-05-28,India,India in West Indies ODI Series,,"Queen's Park Oval, Port of Spain",field,bowled,MM Patel,,
DR Smith,DR Smith,2006-09-14,India,DLF Cup,,Kinrara Academy Oval,bat,,,,lbw
DR Smith,DR Smith,2006-09-18,Australia,DLF Cup,,Kinrara Academy Oval,bat,bowled,A Symonds,,
DR Smith,DR Smith,2006-09-20,India,DLF Cup,,Kinrara Academy Oval,bat,lbw,AB Agarkar,,caught|bowled|caught|caught
DR Smith,DR Smith,2006-09-24,Australia,DLF Cup,Final,Kinrara Academy Oval,bat,caught,B Lee,RT Ponting,
DR Smith,DR Smith,2006-10-08,Zimbabwe,ICC Champions Trophy,,"Sardar Patel Stadium, Motera",bat,,,,caught|caught
DR Smith,DR Smith,2006-10-14,Sri Lanka,ICC Champions Trophy,,Brabourne Stadium,bat,caught,MF Maharoof,M Muralitharan,
DR Smith,DR Smith,2006-10-18,Australia,ICC Champions Trophy,,Brabourne Stadium,bat,caught,B Lee,GB Hogg,
DR Smith,DR Smith,2006-10-26,India,ICC Champions Trophy,,"Sardar Patel Stadium, Motera",field,bowled,AB Agarkar,,
DR Smith,DR Smith,2006-11-02,South Africa,ICC Champions Trophy,Semi Final,Sawai Mansingh Stadium,bat,,,,
DR Smith,DR Smith,2006-12-07,Pakistan,West Indies in Pakistan ODI Series,,Iqbal Stadium,field,lbw,Abdur Rehman,,
DR Smith,DR Smith,2006-12-10,Pakistan,West Indies in Pakistan ODI Series,,Gaddafi Stadium,field,bowled,Umar Gul,,
DR Smith,DR Smith,2006-12-13,Pakistan,West Indies in Pakistan ODI Series,,Multan Cricket Stadium,bat,,,,caught|lbw
DR Smith,DR Smith,2006-12-16,Pakistan,West Indies in Pakistan ODI Series,,National Stadium,field,lbw,Naved-ul-Hasan,,
DR Smith,DR Smith,2007-01-31,India,West Indies in India ODI Series,,Indian Petrochemicals Corporation Limited Sports Complex Ground,field,lbw,A Kumble,,
DR Smith,DR Smith,2007-03-13,Pakistan,ICC World Cup,,"Sabina Park, Kingston",field,caught,Umar Gul,Inzamam-ul-Haq,caught|lbw|caught
DR Smith,DR Smith,2007-03-19,Zimbabwe,ICC World Cup,,"Sabina Park, Kingston",field,,,,caught
DR Smith,DR Smith,2007-03-27,Australia,ICC World Cup,,"Sir Vivian Richards Stadium, North Sound",field,lbw,GB Hogg,,
DR Smith,DR Smith,2007-03-29,New Zealand,ICC World Cup,,"Sir Vivian Richards Stadium, North Sound",field,bowled,DL Vettori,,
DR Smith,DR Smith,2007-04-01,Sri Lanka,ICC World Cup,,Providence Stadium,field,run out,,,
DR Smith,DR Smith,2007-07-01,England,NatWest Series,,Lord's,field,caught,SCJ Broad,MJ Prior,lbw
DR Smith,DR Smith,2007-07-04,England,NatWest Series,,Edgbaston,field,lbw,SCJ Broad,,
DR Smith,DR Smith,2007-07-07,England,NatWest Series,,Trent Bridge,bat,Not Out,,,caught
DR Smith,DR Smith,2007-07-14,Ireland,Quadrangular Series (Ireland),,Clontarf Cricket Club Ground,bat,,,,
DR Smith,DR Smith,2010-02-07,Australia,West Indies in Australia ODI Series,,Melbourne Cricket Ground,field,caught,NM Hauritz,SR Watson,caught
DR Smith,DR Smith,2010-02-09,Australia,West Indies in Australia ODI Series,,Adelaide Oval,bat,caught,CJ McKay,MEK Hussey,bowled
DR Smith,DR Smith,2010-02-12,Australia,West Indies in Australia ODI Series,,Sydney Cricket Ground,field,,,,lbw|bowled|caught
DR Smith,DR Smith,2010-02-14,Australia,West Indies in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",field,Not Out,,,caught|caught
DR Smith,DR Smith,2010-02-19,Australia,West Indies in Australia ODI Series,,Melbourne Cricket Ground,bat,run out,,,
DR Smith,DR Smith,2010-03-04,Zimbabwe,Zimbabwe in West Indies ODI Series,,Providence Stadium,bat,bowled,SW Masakadza,,
DR Smith,DR Smith,2012-06-16,England,NatWest Series,,The Rose Bowl,field,caught,TT Bresnan,C Kieswetter,
DR Smith,DR Smith,2012-06-19,England,NatWest Series,,Kennington Oval,field,caught,SCJ Broad,C Kieswetter,
DR Smith,DR Smith,2012-07-05,New Zealand,New Zealand in West Indies ODI Series,,"Sabina Park, Kingston",field,Not Out,,,
DR Smith,DR Smith,2012-07-07,New Zealand,New Zealand in West Indies ODI Series,,"Sabina Park, Kingston",field,caught,TS Nethula,NL McCullum,
DR Smith,DR Smith,2012-07-11,New Zealand,New Zealand in West Indies ODI Series,,"Warner Park, Basseterre",field,caught,JDP Oram,NL McCullum,
DR Smith,DR Smith,2012-07-14,New Zealand,New Zealand in West Indies ODI Series,,"Warner Park, Basseterre",bat,caught,TG Southee,LRPL Taylor,
DR Smith,DR Smith,2012-07-16,New Zealand,New Zealand in West Indies ODI Series,,"Warner Park, Basseterre",bat,lbw,TG Southee,,
DR Smith,DR Smith,2012-12-02,Bangladesh,West Indies in Bangladesh ODI Series,,Sheikh Abu Naser Stadium,field,lbw,Abdur Razzak,,
DR Smith,DR Smith,2012-12-05,Bangladesh,West Indies in Bangladesh ODI Series,,Shere Bangla National Stadium,field,caught,Abdur Razzak,Naeem Islam,caught
DR Smith,DR Smith,2012-12-07,Bangladesh,West Indies in Bangladesh ODI Series,,Shere Bangla National Stadium,field,bowled,Abdur Razzak,,lbw|caught
DR Smith,DR Smith,2014-02-23,Ireland,Bilateral Series,,"Sabina Park, Kingston",bat,caught,SR Thompson,GC Wilson,
DR Smith,DR Smith,2014-02-28,England,England in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",field,caught,JC Tredwell,JC Buttler,caught
DR Smith,DR Smith,2014-03-02,England,England in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",field,caught,JE Root,LJ Wright,
DR Smith,DR Smith,2014-03-05,England,England in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",field,caught,SCJ Broad,MM Ali,
DR Smith,DR Smith,2014-10-08,India,West Indies in India ODI Series,,Nehru Stadium,field,bowled,RA Jadeja,,
DR Smith,DR Smith,2014-10-11,India,West Indies in India ODI Series,,Feroz Shah Kotla,bat,bowled,Mohammed Shami,,
DR Smith,DR Smith,2014-10-17,India,West Indies in India ODI Series,,Himachal Pradesh Cricket Association Stadium,field,caught,UT Yadav,Mohammed Shami,
DR Smith,DR Smith,2015-01-16,South Africa,West Indies in South Africa ODI Series,,Kingsmead,bat,lbw,Imran Tahir,,
DR Smith,DR Smith,2015-01-18,South Africa,West Indies in South Africa ODI Series,,New Wanderers Stadium,field,caught,F Behardien,JP Duminy,
DR Smith,DR Smith,2015-01-21,South Africa,West Indies in South Africa ODI Series,,Buffalo Park,bat,caught,VD Philander,AB de Villiers,
DR Smith,DR Smith,2015-01-25,South Africa,West Indies in South Africa ODI Series,,St George's Park,field,bowled,M Morkel,,
DR Smith,DR Smith,2015-01-28,South Africa,West Indies in South Africa ODI Series,,SuperSport Park,field,lbw,AM Phangiso,,
DR Smith,DR Smith,2015-02-16,Ireland,ICC Cricket World Cup,,Saxton Oval,field,caught,KJ O'Brien,JF Mooney,
DR Smith,DR Smith,2015-02-21,Pakistan,ICC Cricket World Cup,,Hagley Oval,field,caught,Sohail Khan,Haris Sohail,
DR Smith,DR Smith,2015-02-24,Zimbabwe,ICC Cricket World Cup,,Manuka Oval,bat,bowled,T Panyangara,,
DR Smith,DR Smith,2015-02-27,South Africa,ICC Cricket World Cup,,Sydney Cricket Ground,bat,caught,Imran Tahir,DA Miller,
DR Smith,DR Smith,2015-03-06,India,ICC Cricket World Cup,,Western Australia Cricket Association Ground,bat,caught,Mohammed Shami,MS Dhoni,caught
DR Smith,DR Smith,2015-03-15,United Arab Emirates,ICC Cricket World Cup,,McLean Park,field,caught,AM Guruge,SP Patil,
DR Tuffey,DR Tuffey,2002-12-29,India,India tour of New Zealand,,"McLean Park, Napier",field,bowled,Z Khan,,bowled|caught
DR Tuffey,DR Tuffey,2003-01-01,India,India tour of New Zealand,,"Jade Stadium, Christchurch",bat,,,,caught|caught
DR Tuffey,DR Tuffey,2003-01-04,India,India tour of New Zealand,,"Davies Park, Queenstown",field,,,,caught|caught
DR Tuffey,DR Tuffey,2003-01-08,India,India tour of New Zealand,,"Westpac Stadium, Wellington",bat,bowled,J Srinath,,caught
DR Tuffey,DR Tuffey,2003-01-14,India,India tour of New Zealand,,"Westpac Park, Hamilton",field,,,,caught|caught
DR Tuffey,DR Tuffey,2003-02-10,Sri Lanka,ICC World Cup,,"Goodyear Park, Bloemfontein",field,caught,RP Arnold,KC Sangakkara,
DR Tuffey,DR Tuffey,2003-03-14,India,ICC World Cup,Super Sixes,"SuperSport Park, Centurion",field,caught and bowled,,,caught
DR Tuffey,DR Tuffey,2003-05-11,Pakistan,Bank Alfalah Cup,,Rangiri Dambulla International Stadium,field,,,,caught|lbw
DR Tuffey,DR Tuffey,2003-05-19,Sri Lanka,Bank Alfalah Cup,,Rangiri Dambulla International Stadium,field,,,,caught
DR Tuffey,DR Tuffey,2003-05-23,Pakistan,Bank Alfalah Cup,Final,Rangiri Dambulla International Stadium,bat,,,,caught|caught|caught
DR Tuffey,DR Tuffey,2003-10-23,India,TVS Cup (India),,"MA Chidambaram Stadium, Chepauk, Chennai",bat,,,,
DR Tuffey,DR Tuffey,2003-10-29,Australia,TVS Cup (India),,"Nahar Singh Stadium, Faridabad",bat,Not Out,,,caught
DR Tuffey,DR Tuffey,2003-11-03,Australia,TVS Cup (India),,"Nehru Stadium, Poona",field,Not Out,,,caught|caught|bowled|bowled
DR Tuffey,DR Tuffey,2003-11-06,India,TVS Cup (India),,"Barabati Stadium, Cuttack",bat,,,,caught|caught|bowled
DR Tuffey,DR Tuffey,2003-11-15,India,TVS Cup (India),,"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",bat,lbw,Z Khan,,bowled
DR Tuffey,DR Tuffey,2003-12-01,Pakistan,New Zealand tour of Pakistan,,"Gaddafi Stadium, Lahore",bat,Not Out,,,caught
DR Tuffey,DR Tuffey,2003-12-05,Pakistan,New Zealand tour of Pakistan,,Rawalpindi Cricket Stadium,bat,lbw,Shoaib Akhtar,,
DR Tuffey,DR Tuffey,2004-01-03,Pakistan,Pakistan tour of New Zealand,,Eden Park,field,,,,
DR Tuffey,DR Tuffey,2004-09-10,United States of America,ICC Champions Trophy,,Kennington Oval,field,,,,
DR Tuffey,DR Tuffey,2005-02-26,Australia,Australia tour of New Zealand,,Eden Park,bat,,,,
DR Tuffey,DR Tuffey,2007-02-16,Australia,Chappell-Hadlee Trophy,,Westpac Stadium,field,,,,
DR Tuffey,DR Tuffey,2007-02-18,Australia,Chappell-Hadlee Trophy,,Eden Park,field,,,,
DR Tuffey,DR Tuffey,2007-02-20,Australia,Chappell-Hadlee Trophy,,Seddon Park,bat,caught,MG Johnson,BJ Haddin,caught
